Date	Time	Close
2008/01/02	09:30	94.49
2008/01/02	10:30	94.93
2008/01/02	11:30	95.70
2008/01/02	12:30	95.57
2008/01/02	13:30	96.26
2008/01/02	14:30	96.30
2008/01/02	15:30	96.07
2008/01/02	16:00	96.22
2008/01/03	09:30	98.04
2008/01/03	10:30	97.95
2008/01/03	11:30	97.90
2008/01/03	12:30	98.00
2008/01/03	13:30	97.59
2008/01/03	14:30	97.65
2008/01/03	15:30	97.65
2008/01/03	16:00	97.42
2008/01/04	09:30	97.47
2008/01/04	10:30	97.38
2008/01/04	11:30	97.81
2008/01/04	12:30	97.50
2008/01/04	13:30	97.75
2008/01/04	14:30	97.18
2008/01/04	15:30	96.90
2008/01/04	16:00	96.73
2008/01/07	09:30	97.05
2008/01/07	10:30	96.74
2008/01/07	11:30	96.82
2008/01/07	12:30	96.92
2008/01/07	13:30	96.97
2008/01/07	14:30	96.76
2008/01/07	15:30	95.70
2008/01/07	16:00	94.55
2008/01/08	09:30	94.93
2008/01/08	10:30	94.91
2008/01/08	11:30	95.33
2008/01/08	12:30	95.65
2008/01/08	13:30	95.82
2008/01/08	14:30	96.16
2008/01/08	15:30	95.75
2008/01/08	16:00	95.98
2008/01/09	09:30	96.08
2008/01/09	10:30	96.04
2008/01/09	11:30	96.02
2008/01/09	12:30	96.00
2008/01/09	13:30	95.26
2008/01/09	14:30	95.00
2008/01/09	15:30	94.84
2008/01/09	16:00	95.78
2008/01/10	09:30	94.84
2008/01/10	10:30	93.69
2008/01/10	11:30	94.06
2008/01/10	12:30	93.67
2008/01/10	13:30	93.10
2008/01/10	14:30	92.72
2008/01/10	15:30	92.73
2008/01/10	16:00	92.57
2008/01/11	09:30	92.84
2008/01/11	10:30	92.58
2008/01/11	11:30	91.95
2008/01/11	12:30	91.70
2008/01/11	13:30	91.56
2008/01/11	14:30	91.41
2008/01/11	15:30	91.32
2008/01/11	16:00	91.95
2008/01/14	09:30	91.40
2008/01/14	10:30	90.97
2008/01/14	11:30	91.27
2008/01/14	12:30	91.74
2008/01/14	13:30	92.00
2008/01/14	14:30	92.31
2008/01/14	15:30	91.78
2008/01/14	16:00	91.97
2008/01/15	09:30	92.16
2008/01/15	10:30	92.29
2008/01/15	11:30	92.60
2008/01/15	12:30	92.74
2008/01/15	13:30	92.31
2008/01/15	14:30	91.26
2008/01/15	15:30	90.92
2008/01/15	16:00	90.85
2008/01/16	09:30	89.83
2008/01/16	10:30	89.92
2008/01/16	11:30	90.16
2008/01/16	12:30	89.53
2008/01/16	13:30	89.88
2008/01/16	14:30	90.25
2008/01/16	15:30	89.99
2008/01/16	16:00	88.32
2008/01/17	09:30	89.50
2008/01/17	10:30	89.90
2008/01/17	11:30	90.08
2008/01/17	12:30	89.99
2008/01/17	13:30	90.42
2008/01/17	14:30	90.32
2008/01/17	15:30	89.49
2008/01/17	16:00	89.36
2008/01/18	09:30	89.29
2008/01/18	10:30	89.23
2008/01/18	11:30	89.20
2008/01/18	12:30	89.70
2008/01/18	13:30	89.65
2008/01/18	14:30	89.56
2008/01/18	15:30	89.66
2008/01/18	16:00	89.65
2008/01/21	09:30	88.41
2008/01/21	10:30	88.02
2008/01/21	11:30	87.91
2008/01/21	12:30	87.78
2008/01/21	13:30	87.89
2008/01/21	14:30	87.83
2008/01/21	15:30	87.95
2008/01/21	16:00	87.88
2008/01/22	09:30	86.19
2008/01/22	10:30	86.18
2008/01/22	11:30	86.26
2008/01/22	12:30	86.22
2008/01/22	13:30	86.62
2008/01/22	14:30	86.88
2008/01/22	15:30	87.47
2008/01/22	16:00	87.74
2008/01/23	09:30	88.16
2008/01/23	10:30	87.58
2008/01/23	11:30	87.13
2008/01/23	12:30	87.57
2008/01/23	13:30	87.15
2008/01/23	14:30	87.05
2008/01/23	15:30	87.73
2008/01/23	16:00	87.33
2008/01/24	09:30	87.38
2008/01/24	10:30	87.40
2008/01/24	11:30	87.89
2008/01/24	12:30	88.11
2008/01/24	13:30	87.81
2008/01/24	14:30	87.60
2008/01/24	15:30	87.57
2008/01/24	16:00	87.13
2008/01/25	09:30	90.16
2008/01/25	10:30	89.87
2008/01/25	11:30	90.11
2008/01/25	12:30	90.10
2008/01/25	13:30	90.50
2008/01/25	14:30	90.70
2008/01/25	15:30	90.88
2008/01/25	16:00	90.61
2008/01/28	09:30	89.80
2008/01/28	10:30	89.71
2008/01/28	11:30	89.61
2008/01/28	12:30	89.90
2008/01/28	13:30	90.09
2008/01/28	14:30	89.93
2008/01/28	15:30	89.76
2008/01/28	16:00	90.04
2008/01/29	09:30	91.44
2008/01/29	10:30	91.63
2008/01/29	11:30	91.99
2008/01/29	12:30	91.94
2008/01/29	13:30	91.97
2008/01/29	14:30	91.31
2008/01/29	15:30	91.32
2008/01/29	16:00	91.79
2008/01/30	09:30	92.12
2008/01/30	10:30	92.33
2008/01/30	11:30	92.57
2008/01/30	12:30	92.48
2008/01/30	13:30	92.46
2008/01/30	14:30	92.32
2008/01/30	15:30	92.25
2008/01/30	16:00	92.07
2008/01/31	09:30	91.74
2008/01/31	10:30	91.77
2008/01/31	11:30	91.59
2008/01/31	12:30	91.72
2008/01/31	13:30	91.75
2008/01/31	14:30	91.08
2008/01/31	15:30	90.63
2008/01/31	16:00	90.55
2008/02/01	09:30	91.82
2008/02/01	10:30	91.81
2008/02/01	11:30	91.83
2008/02/01	12:30	91.95
2008/02/01	13:30	92.36
2008/02/01	14:30	91.37
2008/02/01	15:30	90.77
2008/02/01	16:00	90.65
2008/02/04	09:30	89.55
2008/02/04	10:30	89.10
2008/02/04	11:30	88.75
2008/02/04	12:30	88.97
2008/02/04	13:30	89.42
2008/02/04	14:30	89.72
2008/02/04	15:30	90.00
2008/02/04	16:00	90.18
2008/02/05	09:30	89.74
2008/02/05	10:30	89.62
2008/02/05	11:30	89.65
2008/02/05	12:30	89.70
2008/02/05	13:30	89.43
2008/02/05	14:30	88.81
2008/02/05	15:30	88.98
2008/02/05	16:00	88.68
2008/02/06	09:30	88.39
2008/02/06	10:30	88.43
2008/02/06	11:30	89.06
2008/02/06	12:30	89.07
2008/02/06	13:30	89.40
2008/02/06	14:30	89.37
2008/02/06	15:30	88.71
2008/02/06	16:00	88.10
